행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101053,종로구,사직동,01,20,221 ,52 ,8 ,6 ,7 ,6 ,4 ,5 ,8 ,2 ,4 ,2 ,,,,,,,,,,,
1101053,종로구,사직동,01,25,321 ,110 ,11 ,11 ,8 ,11 ,5 ,13 ,10 ,19 ,17 ,2 ,,,,,,,,,,,
1101053,종로구,사직동,01,30,351 ,108 ,15 ,15 ,10 ,11 ,9 ,20 ,14 ,11 ,13 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,01,35,353 ,107 ,16 ,11 ,8 ,10 ,12 ,15 ,17 ,10 ,8 ,13 ,,,,,,,,,,,
1101053,종로구,사직동,01,40,419 ,80 ,14 ,6 ,11 ,6 ,8 ,11 ,7 ,5 ,9 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,01,45,352 ,73 ,13 ,9 ,7 ,8 ,10 ,8 ,10 ,7 ,7 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,01,50,323 ,51 ,7 ,5 ,3 ,5 ,9 ,3 ,6 ,4 ,6 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,01,55,351 ,48 ,8 ,4 ,3 ,4 ,17 ,3 ,6 ,7 ,5 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,01,60,245 ,43 ,5 ,4 ,4 ,3 ,4 ,2 ,4 ,5 ,2 ,3 ,,,,,,,,,,,
1101053,종로구,사직동,01,65,180 ,30 ,2 ,1 ,6 ,1 ,2 ,1 ,1 ,1 ,4 ,1 ,,,,,,,,,,,
1101053,종로구,사직동,01,70,167 ,30 ,2 ,2 ,1 ,1 ,3 ,0 ,1 ,1 ,1 ,3 ,,,,,,,,,,,
1101053,종로구,사직동,01,75,295 ,83 ,4 ,2 ,7 ,2 ,1 ,1 ,3 ,1 ,7 ,3 ,,,,,,,,,,,
1101053,종로구,사직동,02,20,362 ,118 ,14 ,16 ,6 ,11 ,5 ,6 ,9 ,3 ,1 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,02,25,365 ,132 ,7 ,7 ,13 ,8 ,6 ,15 ,8 ,12 ,12 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,02,30,428 ,141 ,11 ,15 ,8 ,15 ,6 ,21 ,11 ,15 ,12 ,14 ,,,,,,,,,,,
1101053,종로구,사직동,02,35,405 ,101 ,7 ,9 ,5 ,10 ,5 ,13 ,6 ,6 ,4 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,40,411 ,86 ,4 ,8 ,6 ,7 ,1 ,7 ,6 ,9 ,10 ,1 ,,,,,,,,,,,
1101053,종로구,사직동,02,45,420 ,98 ,12 ,16 ,5 ,14 ,13 ,6 ,14 ,11 ,4 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,02,50,389 ,63 ,6 ,9 ,4 ,9 ,12 ,2 ,8 ,4 ,7 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,55,377 ,65 ,5 ,6 ,5 ,6 ,9 ,2 ,6 ,5 ,3 ,3 ,,,,,,,,,,,
1101053,종로구,사직동,02,60,288 ,55 ,3 ,8 ,3 ,9 ,5 ,1 ,6 ,7 ,3 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,65,248 ,43 ,3 ,2 ,3 ,3 ,3 ,1 ,3 ,3 ,5 ,1 ,,,,,,,,,,,
1101053,종로구,사직동,02,70,226 ,48 ,7 ,5 ,0 ,7 ,6 ,0 ,6 ,6 ,2 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,02,75,352 ,117 ,3 ,3 ,2 ,4 ,14 ,0 ,4 ,7 ,8 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,01,20,83 ,40 ,6 ,19 ,9 ,12 ,9 ,1 ,17 ,1 ,2 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,25,80 ,40 ,4 ,10 ,6 ,3 ,3 ,4 ,4 ,4 ,5 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,30,100 ,51 ,3 ,7 ,8 ,5 ,0 ,6 ,3 ,10 ,8 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,35,99 ,47 ,5 ,2 ,7 ,7 ,5 ,10 ,7 ,7 ,0 ,5 ,,,,,,,,,,,
1101054,종로구,삼청동,01,40,102 ,32 ,6 ,4 ,1 ,5 ,0 ,2 ,5 ,3 ,0 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,01,45,110 ,33 ,9 ,1 ,1 ,1 ,0 ,2 ,4 ,1 ,1 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,50,110 ,33 ,8 ,6 ,3 ,7 ,8 ,1 ,9 ,5 ,5 ,8 ,,,,,,,,,,,
1101054,종로구,삼청동,01,55,113 ,28 ,1 ,2 ,1 ,1 ,0 ,1 ,1 ,4 ,3 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,60,84 ,25 ,2 ,2 ,6 ,1 ,0 ,1 ,2 ,3 ,1 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,01,65,77 ,19 ,2 ,1 ,1 ,2 ,3 ,0 ,2 ,1 ,2 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,70,76 ,19 ,3 ,4 ,0 ,4 ,3 ,0 ,3 ,1 ,1 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,75,71 ,23 ,0 ,3 ,2 ,1 ,5 ,0 ,0 ,0 ,0 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,02,20,60 ,31 ,3 ,2 ,5 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,25,92 ,44 ,2 ,4 ,4 ,2 ,0 ,2 ,0 ,6 ,4 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,30,93 ,43 ,3 ,5 ,3 ,5 ,4 ,4 ,7 ,5 ,3 ,7 ,,,,,,,,,,,
