행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101053,종로구,사직동,01,20,218 ,88 ,13 ,7 ,10 ,4 ,4 ,4 ,7 ,6 ,6 ,6 
1101053,종로구,사직동,01,25,313 ,109 ,9 ,9 ,10 ,12 ,6 ,11 ,9 ,11 ,11 ,12 
1101053,종로구,사직동,01,30,385 ,200 ,32 ,25 ,13 ,28 ,13 ,19 ,28 ,29 ,22 ,23 
1101053,종로구,사직동,01,35,367 ,134 ,26 ,19 ,11 ,21 ,13 ,14 ,23 ,12 ,12 ,13 
1101053,종로구,사직동,01,40,432 ,116 ,26 ,13 ,13 ,13 ,14 ,11 ,20 ,10 ,11 ,12 
1101053,종로구,사직동,01,45,355 ,138 ,28 ,19 ,17 ,18 ,18 ,7 ,24 ,12 ,9 ,10 
1101053,종로구,사직동,01,50,350 ,88 ,14 ,10 ,8 ,8 ,9 ,3 ,11 ,6 ,12 ,13 
1101053,종로구,사직동,01,55,356 ,73 ,11 ,10 ,7 ,9 ,17 ,3 ,10 ,5 ,5 ,5 
1101053,종로구,사직동,01,60,276 ,62 ,7 ,6 ,8 ,5 ,8 ,2 ,6 ,4 ,3 ,3 
1101053,종로구,사직동,01,65,184 ,52 ,4 ,3 ,12 ,2 ,3 ,1 ,2 ,2 ,9 ,10 
1101053,종로구,사직동,01,70,168 ,39 ,4 ,3 ,0 ,2 ,4 ,0 ,4 ,2 ,3 ,3 
1101053,종로구,사직동,01,75,306 ,77 ,5 ,6 ,8 ,7 ,3 ,1 ,8 ,1 ,10 ,11 
1101053,종로구,사직동,02,20,367 ,119 ,16 ,11 ,5 ,6 ,0 ,7 ,7 ,3 ,2 ,2 
1101053,종로구,사직동,02,25,412 ,182 ,9 ,10 ,8 ,19 ,6 ,14 ,11 ,16 ,13 ,14 
1101053,종로구,사직동,02,30,462 ,183 ,20 ,17 ,13 ,20 ,8 ,18 ,17 ,14 ,9 ,10 
1101053,종로구,사직동,02,35,426 ,157 ,12 ,19 ,6 ,16 ,10 ,13 ,16 ,8 ,7 ,8 
1101053,종로구,사직동,02,40,413 ,153 ,10 ,12 ,12 ,14 ,1 ,6 ,9 ,13 ,15 ,16 
1101053,종로구,사직동,02,45,440 ,148 ,13 ,25 ,8 ,16 ,6 ,6 ,18 ,17 ,7 ,8 
1101053,종로구,사직동,02,50,415 ,122 ,12 ,13 ,7 ,12 ,16 ,3 ,14 ,9 ,16 ,17 
1101053,종로구,사직동,02,55,391 ,91 ,5 ,9 ,6 ,8 ,2 ,2 ,7 ,8 ,5 ,6 
1101053,종로구,사직동,02,60,303 ,61 ,5 ,8 ,6 ,9 ,6 ,1 ,6 ,5 ,3 ,3 
1101053,종로구,사직동,02,65,273 ,69 ,6 ,8 ,4 ,7 ,5 ,1 ,6 ,6 ,8 ,9 
1101053,종로구,사직동,02,70,211 ,54 ,7 ,8 ,0 ,9 ,10 ,0 ,7 ,5 ,1 ,1 
1101053,종로구,사직동,02,75,355 ,96 ,8 ,10 ,5 ,10 ,11 ,0 ,13 ,7 ,9 ,9 
1101054,종로구,삼청동,01,20,140 ,140 ,14 ,36 ,49 ,51 ,1 ,2 ,76 ,5 ,10 ,10 
1101054,종로구,삼청동,01,25,52 ,20 ,2 ,3 ,0 ,3 ,0 ,3 ,3 ,1 ,3 ,3 
1101054,종로구,삼청동,01,30,81 ,38 ,6 ,2 ,7 ,2 ,0 ,6 ,5 ,5 ,4 ,4 
1101054,종로구,삼청동,01,35,69 ,25 ,6 ,4 ,5 ,3 ,4 ,4 ,5 ,1 ,0 ,0 
1101054,종로구,삼청동,01,40,73 ,29 ,4 ,3 ,1 ,4 ,2 ,2 ,3 ,3 ,0 ,0 
1101054,종로구,삼청동,01,45,81 ,25 ,4 ,2 ,5 ,2 ,3 ,3 ,3 ,3 ,3 ,4 
1101054,종로구,삼청동,01,50,93 ,23 ,7 ,7 ,2 ,6 ,15 ,1 ,6 ,2 ,3 ,4 
1101054,종로구,삼청동,01,55,68 ,13 ,3 ,2 ,1 ,2 ,3 ,1 ,2 ,2 ,1 ,1 
1101054,종로구,삼청동,01,60,60 ,15 ,1 ,2 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 
1101054,종로구,삼청동,01,65,64 ,12 ,1 ,0 ,0 ,1 ,2 ,0 ,1 ,0 ,3 ,3 
1101054,종로구,삼청동,01,70,61 ,16 ,2 ,1 ,0 ,1 ,3 ,0 ,1 ,0 ,1 ,1 
1101054,종로구,삼청동,01,75,66 ,20 ,3 ,2 ,1 ,1 ,5 ,0 ,1 ,1 ,3 ,3 
1101054,종로구,삼청동,02,20,34 ,15 ,3 ,1 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 
1101054,종로구,삼청동,02,25,72 ,32 ,4 ,5 ,5 ,5 ,0 ,2 ,5 ,3 ,2 ,2 
1101054,종로구,삼청동,02,30,80 ,35 ,6 ,7 ,3 ,8 ,7 ,4 ,8 ,3 ,2 ,2 
1101054,종로구,삼청동,02,35,80 ,32 ,4 ,2 ,0 ,3 ,3 ,4 ,4 ,3 ,0 ,0 
1101054,종로구,삼청동,02,40,69 ,29 ,2 ,3 ,1 ,3 ,4 ,1 ,3 ,1 ,3 ,3 
1101054,종로구,삼청동,02,45,76 ,20 ,2 ,2 ,2 ,2 ,0 ,1 ,1 ,1 ,0 ,0 
1101054,종로구,삼청동,02,50,127 ,22 ,2 ,2 ,2 ,1 ,4 ,1 ,2 ,2 ,4 ,4 
1101054,종로구,삼청동,02,55,113 ,31 ,5 ,5 ,3 ,2 ,0 ,1 ,5 ,0 ,1 ,1 
1101054,종로구,삼청동,02,60,94 ,19 ,2 ,3 ,0 ,3 ,3 ,0 ,2 ,1 ,0 ,0 
1101054,종로구,삼청동,02,65,68 ,18 ,0 ,2 ,2 ,1 ,0 ,0 ,1 ,0 ,2 ,2 
1101054,종로구,삼청동,02,70,68 ,18 ,0 ,2 ,0 ,4 ,0 ,0 ,2 ,2 ,2 ,2 
1101054,종로구,삼청동,02,75,139 ,43 ,3 ,4 ,2 ,6 ,6 ,0 ,6 ,3 ,3 ,3 
1101055,종로구,부암동,01,20,573 ,87 ,9 ,3 ,12 ,5 ,5 ,11 ,8 ,7 ,6 ,7 
1101055,종로구,부암동,01,25,366 ,52 ,7 ,4 ,3 ,4 ,8 ,10 ,4 ,6 ,6 ,6 
1101055,종로구,부암동,01,30,313 ,90 ,9 ,11 ,10 ,7 ,12 ,19 ,9 ,8 ,6 ,7 
1101055,종로구,부암동,01,35,290 ,71 ,11 ,6 ,7 ,6 ,13 ,17 ,6 ,5 ,4 ,4 
1101055,종로구,부암동,01,40,388 ,42 ,7 ,5 ,4 ,4 ,14 ,11 ,4 ,2 ,3 ,3 
1101055,종로구,부암동,01,45,359 ,34 ,6 ,3 ,2 ,3 ,12 ,7 ,4 ,3 ,1 ,1 
1101055,종로구,부암동,01,50,427 ,31 ,4 ,2 ,2 ,2 ,12 ,5 ,3 ,3 ,5 ,5 
1101055,종로구,부암동,01,55,373 ,29 ,3 ,2 ,2 ,2 ,9 ,4 ,2 ,2 ,2 ,3 
1101055,종로구,부암동,01,60,285 ,28 ,3 ,3 ,2 ,2 ,10 ,2 ,2 ,2 ,2 ,2 
1101055,종로구,부암동,01,65,198 ,50 ,5 ,3 ,5 ,3 ,6 ,1 ,4 ,1 ,7 ,7 
1101055,종로구,부암동,01,70,145 ,33 ,6 ,2 ,0 ,2 ,14 ,0 ,3 ,0 ,2 ,2 
1101055,종로구,부암동,01,75,286 ,60 ,2 ,5 ,5 ,2 ,5 ,1 ,5 ,1 ,3 ,3 
1101055,종로구,부암동,02,20,499 ,61 ,6 ,2 ,3 ,2 ,0 ,11 ,2 ,6 ,5 ,5 
1101055,종로구,부암동,02,25,385 ,47 ,3 ,2 ,5 ,4 ,5 ,17 ,4 ,4 ,2 ,2 
1101055,종로구,부암동,02,30,335 ,70 ,6 ,3 ,7 ,3 ,0 ,17 ,5 ,6 ,1 ,1 
1101055,종로구,부암동,02,35,301 ,72 ,3 ,6 ,3 ,2 ,0 ,10 ,4 ,8 ,3 ,3 
1101055,종로구,부암동,02,40,435 ,56 ,4 ,4 ,2 ,4 ,5 ,7 ,2 ,4 ,4 ,4 
1101055,종로구,부암동,02,45,511 ,69 ,6 ,8 ,2 ,6 ,15 ,6 ,4 ,7 ,4 ,4 
1101055,종로구,부암동,02,50,456 ,41 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,3 ,6 ,6 
1101055,종로구,부암동,02,55,434 ,54 ,6 ,5 ,2 ,2 ,7 ,3 ,3 ,4 ,6 ,6 
1101055,종로구,부암동,02,60,302 ,28 ,2 ,3 ,1 ,3 ,4 ,2 ,2 ,2 ,0 ,0 
1101055,종로구,부암동,02,65,258 ,75 ,4 ,3 ,4 ,2 ,2 ,1 ,3 ,3 ,6 ,7 
1101055,종로구,부암동,02,70,210 ,49 ,3 ,6 ,0 ,3 ,2 ,0 ,3 ,3 ,4 ,4 
1101055,종로구,부암동,02,75,386 ,100 ,7 ,6 ,3 ,8 ,9 ,1 ,9 ,5 ,8 ,8 
1101056,종로구,평창동,01,20,617 ,69 ,9 ,4 ,9 ,3 ,0 ,12 ,6 ,6 ,4 ,4 
1101056,종로구,평창동,01,25,571 ,48 ,6 ,3 ,3 ,3 ,16 ,19 ,4 ,8 ,4 ,4 
1101056,종로구,평창동,01,30,497 ,57 ,7 ,3 ,7 ,3 ,8 ,36 ,4 ,9 ,5 ,5 
1101056,종로구,평창동,01,35,438 ,59 ,8 ,4 ,5 ,2 ,6 ,29 ,5 ,5 ,4 ,4 
1101056,종로구,평창동,01,40,600 ,50 ,6 ,3 ,3 ,2 ,11 ,16 ,3 ,4 ,3 ,3 
1101056,종로구,평창동,01,45,634 ,51 ,7 ,4 ,3 ,4 ,22 ,17 ,4 ,3 ,3 ,3 
1101056,종로구,평창동,01,50,757 ,37 ,4 ,2 ,2 ,1 ,10 ,10 ,2 ,3 ,5 ,5 
1101056,종로구,평창동,01,55,711 ,54 ,6 ,3 ,2 ,3 ,15 ,9 ,4 ,5 ,5 ,5 
